goal,count,pick count,pick%,median,sub 1:15,sub 1:15 rate
Open 2 Boss Key Doors,13,7,53.8,1:18:23,2,28.6
Open 50 Rupee chest in Wasteland,13,7,53.8,1:25:54,0,0.0
1 Skulltula from each Child Dungeon,17,9,52.9,1:20:47,1,11.1
All 4 Skulltulas in Deku Tree,17,9,52.9,1:25:22,0,0.0
All 4 Lon Lon Ranch area Skulltulas,17,9,52.9,1:28:29,1,11.1
All 5 Skulltulas in Water Temple,46,24,52.2,1:19:37,6,25.0
Ganon's Castle Boss Key,27,14,51.9,1:35:57,0,0.0
Open the Final Door of Water Trial,31,16,51.6,1:22:54,3,18.8
Open 5 Gold Rupee Chests,16,8,50.0,1:25:29,1,12.5
Lon Lon Ranch HP,18,9,50.0,1:23:54,1,11.1
Lens of Truth,24,12,50.0,1:18:14,3,25.0
Open the Final Door of Spirit Trial,24,12,50.0,1:21:07,4,33.3
4 Maps,8,4,50.0,1:21:44,0,0.0
Golden Gauntlets,10,5,50.0,1:14:36,3,60.0
Longshot,16,8,50.0,1:25:57,2,25.0
All 5 Skulltulas in Fire Temple,33,16,48.5,1:21:43,2,12.5
3 Swords & 3 Shields,23,11,47.8,1:34:15,1,9.1
Saria's Song,23,11,47.8,1:23:22,3,27.3
3 Shields & 3 Tunics,21,10,47.6,1:25:51,0,0.0
Plant 5 Magic Beans,19,9,47.4,1:20:58,2,22.2
3 Swords & 3 Boots,19,9,47.4,1:22:18,2,22.2
3 Skulltulas in Water Temple,17,8,47.1,1:23:26,0,0.0
Keaton Mask,17,8,47.1,1:27:57,1,12.5
All 5 Skulltulas in Shadow Temple,17,8,47.1,1:17:39,3,37.5
Map & Compass in Fire Temple,15,7,46.7,1:22:33,1,14.3
Fill all 4 Bottle Slots,15,7,46.7,1:25:00,0,0.0
Bullet Bag (50),28,13,46.4,1:18:19,5,38.5
Requiem of Spirit,13,6,46.2,1:23:45,1,16.7
Blue Potion,13,6,46.2,1:18:54,2,33.3
Beat the Fire Temple,33,15,45.5,1:26:32,0,0.0
Beat Dodongo's Cavern,11,5,45.5,1:21:31,1,20.0
Clear 10 Silver Rupee Rooms,60,27,45.0,1:27:58,3,11.1
All 5 Lake Hylia Skulltulas,36,16,44.4,1:22:24,4,25.0
Blue Gauntlets,9,4,44.4,1:41:16,0,0.0
Water Medallion,9,4,44.4,1:27:29,0,0.0
Desert Colossus HP,16,7,43.8,1:24:31,3,42.9
Obtain all 8 Small Keys in Fire Temple,23,10,43.5,1:18:55,1,10.0
Beat the Spirit Temple,53,23,43.4,1:24:08,3,13.0
Beat Jabu-Jabu's Belly,14,6,42.9,1:31:11,2,33.3
2 Boss Keys,7,3,42.9,1:35:07,0,0.0
Light Arrows,26,11,42.3,1:29:53,1,9.1
Plant bean in Death Mountain Crater,12,5,41.7,1:26:17,0,0.0
"3 Swords, Tunics, Boots, and Shields",68,28,41.2,1:23:54,4,14.3
Forest Temple Boss Key,22,9,40.9,1:23:29,2,22.2
Both Rusty Switches in Spirit Temple,57,23,40.4,1:24:55,3,13.0
3 Tunics & 3 Boots,5,2,40.0,1:40:33,0,0.0
Bomb Bag (30),20,8,40.0,1:26:36,0,0.0
Defeat Meg (Purple Poe),10,4,40.0,1:23:08,1,25.0
Goron Bracelet,51,20,39.2,1:27:56,2,10.0
Giant's Knife,13,5,38.5,1:34:02,1,20.0
4 Skulltulas in Shadow Temple,26,10,38.5,1:32:43,0,0.0
Map & Compass in Dodongo's Cavern,21,8,38.1,1:30:36,2,25.0
Cow in House,16,6,37.5,1:16:24,2,33.3
Water Temple Boss Key,8,3,37.5,1:27:57,1,33.3
8 Songs,19,7,36.8,1:28:29,0,0.0
Defeat Meg (purple Poe),22,8,36.4,1:27:58,1,12.5
All 3 Kokiri Forest area Skulltulas,11,4,36.4,1:36:14,0,0.0
Ice Cavern HP,14,5,35.7,1:31:15,0,0.0
All 4 Skulltulas in Jabu-Jabu,14,5,35.7,1:19:58,1,20.0
Double Defense,20,7,35.0,1:16:51,2,28.6
4 Compasses,9,3,33.3,1:22:01,1,33.3
Defeat a Skull Kid,18,6,33.3,1:33:33,0,0.0
All 8 Zora's Domain area Skulltulas,36,12,33.3,1:31:23,1,8.3
6 Hearts,12,4,33.3,1:33:56,0,0.0
Exactly 20 Deku Sticks,28,9,32.1,1:22:45,1,11.1
7 Maps,25,8,32.0,1:28:24,3,37.5
Boomerang,13,4,30.8,1:26:02,1,25.0
Both Gerudo's Fortress area Skulltulas,10,3,30.0,1:26:15,0,0.0
Map & Compass in Shadow Temple,10,3,30.0,1:27:23,0,0.0
Defeat Amy (Green Poe),10,3,30.0,1:20:02,1,33.3
Spirit Temple Boss Key,10,3,30.0,1:22:03,0,0.0
Bullet Bag (40),7,2,28.6,1:30:37,0,0.0
All 5 Skulltulas in Spirit Temple,14,4,28.6,1:23:28,0,0.0
Beat the Forest Temple,15,4,26.7,1:30:12,0,0.0
6 Songs,9,2,22.2,1:31:08,0,0.0
Fairy Slingshot,9,2,22.2,1:19:24,1,50.0
All 4 Gerudo Valley area Skulltulas,18,4,22.2,1:34:56,0,0.0
Bolero of Fire,19,4,21.1,1:19:35,1,25.0
7 Different Bottled Contents,11,2,18.2,1:27:39,0,0.0
Open the Final Door of Fire Trial,12,2,16.7,1:22:44,1,50.0
Milk,9,1,11.1,1:42:04,0,0.0
All 5 Skulltulas in Forest Temple,20,2,10.0,1:43:21,0,0.0
3 Songs,6,0,0.0,nan,0,0.0
Defeat Bongo-Bongo,13,0,0.0,nan,0,0.0
