goal,count,pick count,win count,pick%,win%,median,sub 1:15,sub 1:15 rate
4 Unused Keys in Forest Temple,8,2,2,25.0,100.0,1:14:23,2,100.0
Water Medallion,8,2,2,25.0,100.0,1:15:45,1,50.0
Spirit Temple Boss Key,12,3,1,25.0,33.3,1:34:38,0,0.0
Get to the end of Water Trial,17,4,4,23.5,100.0,1:18:55,1,25.0
All 5 Skulltulas in Water Temple,13,3,2,23.1,66.7,1:25:37,1,33.3
Longshot,13,3,2,23.1,66.7,1:42:06,0,0.0
Beat the Deku Tree,13,3,2,23.1,66.7,1:30:13,0,0.0
9 Hearts (no duping),31,7,5,22.6,71.4,1:42:06,1,14.3
Beat Jabu-Jabu's Belly,9,2,1,22.2,50.0,1:43:14,0,0.0
All 4 Adult Skulltulas in Zora's Domain Area,9,2,0,22.2,0.0,1:27:00,0,0.0
Cow in House,9,2,2,22.2,100.0,1:21:43,0,0.0
3 Tunics,14,3,2,21.4,66.7,1:25:56,0,0.0
All 8 Death Mountain area Skulltulas,14,3,1,21.4,33.3,1:21:27,0,0.0
All 3 Skulltulas in Bottom of the Well,19,4,2,21.1,50.0,1:18:41,2,50.0
Exactly 30 Deku Sticks,19,4,1,21.1,25.0,1:16:18,1,25.0
All 5 Lake Hylia Skulltulas,19,4,4,21.1,100.0,1:11:04,3,75.0
Minuet of Forest,19,4,2,21.1,50.0,1:11:35,2,50.0
5 Compasses,5,1,1,20.0,100.0,1:15:30,0,0.0
Get to the end of Forest Trial,10,2,1,20.0,50.0,1:23:55,0,0.0
3 Shields & 3 Tunics,10,2,0,20.0,0.0,1:46:52,0,0.0
Get Bombchu chest in Spirit Temple,5,1,1,20.0,100.0,1:14:33,1,100.0
Map & Compass in Forest Temple,10,2,2,20.0,100.0,1:42:31,0,0.0
Defeat Dark Link,5,1,0,20.0,0.0,2:16:05,0,0.0
Bullet Bag (40),5,1,0,20.0,0.0,1:44:37,0,0.0
Blue Fire,5,1,1,20.0,100.0,1:13:21,1,100.0
Defeat both Flare Dancers,5,1,0,20.0,0.0,1:20:15,0,0.0
Map & Compass in Jabu-Jabu,5,1,0,20.0,0.0,1:09:51,1,100.0
Din's Fire,27,5,1,18.5,20.0,1:36:48,0,0.0
All 4 Gerudo Valley area Skulltulas,6,1,1,16.7,100.0,1:08:39,1,100.0
7 Magic Beans,12,2,1,16.7,50.0,1:48:32,0,0.0
All 5 Skulltulas in Forest Temple,6,1,0,16.7,0.0,1:37:56,0,0.0
Beat the Shadow Temple,6,1,1,16.7,100.0,1:50:25,0,0.0
500 Rupees,6,1,0,16.7,0.0,1:20:17,0,0.0
Plant bean in Death Mountain Crater,6,1,1,16.7,100.0,1:15:55,0,0.0
37th Heart Piece (Child Fortress),6,1,1,16.7,100.0,1:30:59,0,0.0
All 4 Market area Skulltulas,19,3,1,15.8,33.3,1:20:26,0,0.0
3 Swords & 3 Shields,15,2,2,13.3,100.0,1:21:15,0,0.0
3 Unused Keys in Gerudo Training Grounds,8,1,1,12.5,100.0,1:11:00,1,100.0
Plant 5 Magic Beans,8,1,1,12.5,100.0,1:18:17,0,0.0
Win Bombchu Bowling Prize,8,1,0,12.5,0.0,1:36:48,0,0.0
Defeat a Skull Kid,8,1,1,12.5,100.0,1:21:00,0,0.0
Both HPs in Lost Woods,25,3,2,12.0,66.7,1:41:35,0,0.0
Light Arrows,9,1,1,11.1,100.0,1:22:59,0,0.0
All 4 Skulltulas in Deku Tree,9,1,1,11.1,100.0,1:31:17,0,0.0
Both Hyrule Field area Skulltulas,9,1,1,11.1,100.0,1:23:55,0,0.0
Map & Compass in Dodongo's Cavern,10,1,0,10.0,0.0,1:56:08,0,0.0
Defeat Amy (Green Poe),10,1,1,10.0,100.0,1:25:37,0,0.0
Ice Arrows,11,1,1,9.1,100.0,1:23:55,0,0.0
All 8 Kakariko area Skulltulas,12,1,0,8.3,0.0,nan,0,0.0
Get to the end of Spirit Trial,12,1,1,8.3,100.0,1:09:05,1,100.0
Obtain all 5 Small Keys in Forest Temple,13,1,0,7.7,0.0,1:19:09,0,0.0
Get to the end of Light Trial,5,0,0,0.0,0.0,nan,0,0.0
6 Songs,3,0,0,0.0,0.0,nan,0,0.0
